136,120,199,194,144,265,7,319,21,342,14,281
153,108,479,315,799,465,1269,738,1244,673,1230,784
174,102,420,248,855,292,1182,176,1123,169,1166,214
1003,117,663,116,393,156,204,85,250,87,206,107
1022,121,646,152,325,211,6,311,17,279,23,344
1033,132,634,181,660,491,1265,779,1244,677,1229,782
1275,505,953,342,980,212,1172,168,1123,169,1162,210
1275,552,852,324,592,208,210,86,209,107,250,88
1278,534,832,306,410,198,9,313,15,285,23,334
85,783,629,612,1030,663,1275,778,1262,713,1221,785
8,626,523,378,863,258,1210,166,1139,167,1171,195
6,499,416,321,434,169,206,96,207,115,261,96
